timestamp,downloadSpeed,uploadSpeed,cpuLoad,memoryUsed,memoryTotal
2025-12-23T19:24:47.872Z,0,0,undefined,13.381168365478516,15.708366394042969
2025-12-23T19:28:13.477Z,5.64139352638556,0.15812011325787265,undefined,13.86322021484375,15.708366394042969
2025-12-23T19:28:15.532Z,5.310712463025762,0.18655690530686853,undefined,13.909042358398438,15.708366394042969
2025-12-23T19:28:17.595Z,6.322705479022266,0.29414702119967984,undefined,13.959537506103516,15.708366394042969
2025-12-23T19:28:19.667Z,6.4368528205830815,0.17588829866828937,undefined,13.909820556640625,15.708366394042969
2025-12-23T19:28:21.735Z,5.682811410619461,0.15618806946248473,undefined,13.907669067382812,15.708366394042969
2025-12-23T19:28:23.862Z,5.1275322389557205,0.12074480520417512,undefined,13.924884796142578,15.708366394042969
2025-12-23T19:28:25.923Z,5.424223142616757,0.1282464252429062,undefined,13.897560119628906,15.708366394042969
2025-12-23T19:28:27.961Z,6.116983230081194,0.1551880115141803,undefined,13.957130432128906,15.708366394042969
2025-12-23T19:28:29.955Z,4.836269490691547,0.13403799950394127,undefined,14.148612976074219,15.708366394042969
2025-12-23T19:28:32.033Z,4.665679369277392,0.11641715609763705,undefined,14.155315399169922,15.708366394042969
2025-12-23T19:28:34.161Z,4.565300596984167,0.11979083144619437,undefined,14.156654357910156,15.708366394042969
2025-12-23T19:28:36.221Z,4.636346835356492,0.11467291758610651,undefined,14.1346435546875,15.708366394042969
2025-12-23T19:28:38.316Z,4.507744838546197,0.12604014200807304,undefined,14.186656951904297,15.708366394042969
2025-12-23T19:28:40.407Z,4.695249453293173,0.11660514704688428,undefined,14.349735260009766,15.708366394042969
2025-12-23T19:28:42.533Z,4.793636572891324,0.12090358328312001,undefined,14.369556427001953,15.708366394042969
2025-12-23T19:28:44.621Z,4.528553368976886,0.11362795693029638,undefined,14.35946273803711,15.708366394042969
2025-12-23T19:28:46.695Z,4.839349973092911,0.12312847395919367,undefined,14.350601196289062,15.708366394042969
2025-12-23T19:28:48.792Z,4.909524546398216,0.12870203812840694,undefined,14.355976104736328,15.708366394042969
2025-12-23T19:28:51.281Z,4.321973516968662,0.10712096683978012,undefined,14.39181900024414,15.708366394042969
2025-12-23T19:28:51.602Z,6.277351127322024,0.14807579275795016,undefined,14.411182403564453,15.708366394042969
2025-12-23T19:28:52.257Z,4.615903552112683,0.109069768631176,undefined,14.420047760009766,15.708366394042969
2025-12-23T19:28:52.279Z,6.446318463001667,0.1679209533881547,undefined,14.411373138427734,15.708366394042969
2025-12-23T19:28:53.249Z,23.954259938207166,0.5277107501852101,undefined,14.413898468017578,15.708366394042969
2025-12-23T19:28:53.275Z,3.704457748227003,0.08490608959663205,undefined,14.479660034179688,15.708366394042969
2025-12-23T19:28:54.251Z,3.2855651425867807,0.09062193233104145,undefined,14.501285552978516,15.708366394042969
2025-12-23T19:28:54.298Z,5.950484030916611,0.13066202492152096,undefined,14.540565490722656,15.708366394042969
